พงษ์พัฒน์ วชิรบรรจง - Ballad Hits (320KBpS) 

1. พงษ์พัฒน์ วชิรบรรจง - เวรกรรม (4:15)
2. พงษ์พัฒน์ วชิรบรรจง - ฟั่นเฟือน (3:55)
3. พงษ์พัฒน์ วชิรบรรจง - ทะเลทราย (3:30)
4. พงษ์พัฒน์ วชิรบรรจง - ตัวสำรอง (3:41)
5. พงษ์พัฒน์ วชิรบรรจง - คำสุดท้าย (3:52)
6. พงษ์พัฒน์ วชิรบรรจง - เอาให้ตาย (3:50)
7. พงษ์พัฒน์ วชิรบรรจง - อีกนาน (4:14)
8. พงษ์พัฒน์ วชิรบรรจง - ทรมาน (3:52)
9. พงษ์พัฒน์ วชิรบรรจง - สั่งเสีย (3:33)
10. พงษ์พัฒน์ วชิรบรรจง - อยากเลวกว่านี้ (5:23)
11. พงษ์พัฒน์ วชิรบรรจง - ชาติเดียว (4:00)
12. พงษ์พัฒน์ วชิรบรรจง - ฉันโง่เอง (5:39)
13. พงษ์พัฒน์ วชิรบรรจง - หนึ่งนาที (4:15)
14. พงษ์พัฒน์ วชิรบรรจง - ข้ามศพ (3:59)
15. พงษ์พัฒน์ วชิรบรรจง - คนเนรคุณ (3:48)
16. พงษ์พัฒน์ วชิรบรรจง - ความสุขเล็กๆ (4:38)
17. พงษ์พัฒน์ วชิรบรรจง - บาดเจ็บเล็กน้อย (3:51)
18. พงษ์พัฒน์ วชิรบรรจง - ยอมแพ้ (5:20)

อัพโหลดใหม่ 2012/07/11

Kula
